timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1674111252.64264107,90326937,0.17184531688690186,0.00023379921913146973,0.17081403732299805,0.13879075646400452,2.9038760662078857,2.9210803508758545,0.09,nan,0.0,3.2176826000213623,2,1
1674111252.74258304,90426879,0.16941183805465698,0.00023247301578521729,0.17080004513263702,0.13879075646400452,2.907989740371704,2.9172661304473877,0.25,nan,0.0,3.2140822410583496,3,2
1674111252.84262609,90526922,0.1684723049402237,0.00021252036094665527,0.16951517760753632,0.13879075646400452,2.912120819091797,2.9144718647003174,-0.03,nan,0.0,3.2116446495056152,3,4
1674111252.94264221,90626938,0.1678088754415512,0.00017930567264556885,0.1687840074300766,0.13879075646400452,2.9162654876708984,2.9121103286743164,-0.27,nan,0.0,3.209282875061035,4,3
1674111253.04254913,90726845,0.16864731907844543,0.00017608702182769775,0.16843730211257935,0.13879075646400452,2.920477867126465,2.9091551303863525,0.38,nan,0.0,3.2068982124328613,5,2
1674111253.14270020,90826996,0.17042168974876404,0.00020416080951690674,0.17027823626995087,0.13879075646400452,2.924798011779785,2.907679796218872,-0.28,nan,0.0,3.2054226398468018,6,5
1674111253.24271202,90927008,0.17077530920505524,0.00019928812980651855,0.17040452361106873,0.13879075646400452,2.9292547702789307,2.9059178829193115,0.26,nan,0.0,3.2036609649658203,6,3
1674111253.34268713,91026983,0.1735338270664215,0.0001976490020751953,0.17199276387691498,0.13879075646400452,2.934023380279541,2.9039344787597656,0.26,nan,0.0,3.2016775608062744,7,5
1674111253.44257617,91126872,0.17229805886745453,0.0001936107873916626,0.17285001277923584,0.13879075646400452,2.9392988681793213,2.9039955139160156,0.35000000000000003,nan,0.0,3.2017385959625244,9,6
1674111253.54261208,91226908,0.17383810877799988,0.00023806095123291016,0.17347493767738342,0.13879075646400452,2.945270538330078,2.9070096015930176,0.8300000000000001,nan,0.0,3.2049641609191895,10,6
1674111253.64264321,91326939,0.17142024636268616,0.0002539902925491333,0.1725936084985733,0.13879075646400452,2.9524247646331787,2.9159200191497803,0.52,nan,0.0,3.213874578475952,11,9
1674111253.74262309,91426919,0.17067676782608032,0.00028640031814575195,0.17164207994937897,0.13879075646400452,2.9609739780426025,2.930506467819214,0.17,nan,0.0,3.228461265563965,12,10
1674111253.84256911,91526865,0.16816407442092896,0.00029443204402923584,0.17048710584640503,0.13879075646400452,2.970700263977051,2.946516275405884,0.08,nan,0.0,3.24489426612854,12,12
1674111253.94262004,91626916,0.16739504039287567,0.00031438469886779785,0.1681959331035614,0.13879075646400452,2.981389045715332,2.962376594543457,0.54,nan,0.0,3.2606098651885986,13,15
1674111254.04264402,91726940,0.16784793138504028,0.0003062635660171509,0.16788138449192047,0.13879075646400452,2.99281907081604,2.979863405227661,-0.06,nan,0.0,3.2780966758728027,12,16
1674111254.14255905,91826855,0.16098739206790924,0.0003058910369873047,0.16408564150333405,0.13879075646400452,3.0041279792785645,2.997159004211426,0.55,nan,0.0,3.2956039905548096,11,17
1674111254.24259806,91926894,0.1605965793132782,0.00030985474586486816,0.16209352016448975,0.13879075646400452,3.014124631881714,3.0136940479278564,0.64,nan,0.0,3.3119938373565674,9,16
1674111254.34262705,92026923,0.1594354510307312,0.0003044009208679199,0.16054576635360718,0.13879075646400452,3.0224461555480957,3.0316002368927,0.3,nan,0.0,3.329900026321411,6,14
1674111254.44261122,92126907,0.15886488556861877,0.00032119452953338623,0.15986457467079163,0.13879075646400452,3.0292556285858154,3.04894757270813,0.21,nan,0.0,3.34724760055542,4,11
1674111254.54264402,92226940,0.16478116810321808,0.0003587454557418823,0.16235880553722382,0.13879075646400452,3.0348284244537354,3.061998128890991,0.74,nan,0.0,3.3601512908935547,2,8
1674111254.64257312,92326869,0.16046158969402313,0.00031013786792755127,0.1628238558769226,0.13879075646400452,3.0393879413604736,3.0726475715637207,0.9400000000000001,nan,0.0,3.370800495147705,0,7
1674111254.74271321,92427009,0.1609678864479065,0.00033795833587646484,0.16181358695030212,0.13879075646400452,3.043119430541992,3.085606813430786,0.28,nan,0.0,3.383542537689209,0,5
